Species,TaxID,Gene_symbol,Gene_biotype,Group
Rat,10116,Rpl31-ps12,protein_coding,ribosomal
Rat,10116,Rpl31l12,protein_coding,ribosomal
Rat,10116,Rpl31l15,protein_coding,ribosomal
Rat,10116,Rpl31l2,protein_coding,ribosomal
Rat,10116,Rpl31l9,protein_coding,ribosomal
Rat,10116,Rpl32,protein_coding,ribosomal
Rat,10116,Rpl32l2,protein_coding,ribosomal
Rat,10116,Rpl34,protein_coding,ribosomal
Rat,10116,Rpl34l1,protein_coding,ribosomal
Rat,10116,Rpl35-ps8,protein_coding,ribosomal
Rat,10116,Rpl35a-ps6,protein_coding,ribosomal
Rat,10116,Rpl35a-ps8,protein_coding,ribosomal
Rat,10116,Rpl35al3,protein_coding,ribosomal
Rat,10116,Rpl35al5,protein_coding,ribosomal
Rat,10116,Rpl35al6,protein_coding,ribosomal
Rat,10116,Rpl36,pseudogene,ribosomal
Rat,10116,Rpl36a,protein_coding,ribosomal
Rat,10116,Rpl36al1,protein_coding,ribosomal
Rat,10116,Rpl36l2,protein_coding,ribosomal
Rat,10116,Rpl36l3,protein_coding,ribosomal
Rat,10116,Rpl36l5,protein_coding,ribosomal
Rat,10116,Rpl37-ps5,protein_coding,ribosomal
Rat,10116,Rpl37a,protein_coding,ribosomal
Rat,10116,Rpl37a-ps12,protein_coding,ribosomal
Rat,10116,Rpl37a-ps5,protein_coding,ribosomal
Rat,10116,Rpl37al2,protein_coding,ribosomal
Rat,10116,Rpl37l1,protein_coding,ribosomal
Rat,10116,Rpl37l2,protein_coding,ribosomal
Rat,10116,Rpl37l4,protein_coding,ribosomal
Rat,10116,Rpl38,protein_coding,ribosomal
Rat,10116,Rpl38-ps8,protein_coding,ribosomal
Rat,10116,Rpl38-ps9,protein_coding,ribosomal
Rat,10116,Rpl38l4,protein_coding,ribosomal
Rat,10116,Rpl38l6,protein_coding,ribosomal
Rat,10116,Rpl39,protein_coding,ribosomal
Rat,10116,Rpl39-ps13,protein_coding,ribosomal
Rat,10116,Rpl39l1,protein_coding,ribosomal
Rat,10116,Rpl39l3,protein_coding,ribosomal
Rat,10116,Rpl3l,protein_coding,ribosomal
Rat,10116,Rpl4,protein_coding,ribosomal
Rat,10116,Rpl4-ps1,protein_coding,ribosomal
Rat,10116,Rpl5l1,protein_coding,ribosomal
Rat,10116,Rpl6,protein_coding,ribosomal
Rat,10116,Rpl6-ps1,protein_coding,ribosomal
Rat,10116,Rpl6-ps6,pseudogene,ribosomal
Rat,10116,Rpl7,protein_coding,ribosomal
Rat,10116,Rpl7-ps3,protein_coding,ribosomal
Rat,10116,Rpl7a,protein_coding,ribosomal
Rat,10116,Rpl7a-ps36,pseudogene,ribosomal
Rat,10116,Rpl7l1,protein_coding,ribosomal
Rat,10116,Rpl8,protein_coding,ribosomal
Rat,10116,Rpl8-ps7,protein_coding,ribosomal
Rat,10116,Rpl9,protein_coding,ribosomal
Rat,10116,Rpl9-ps20,protein_coding,ribosomal
Rat,10116,Rpl9-ps30,protein_coding,ribosomal
Rat,10116,Rpl9-ps31,protein_coding,ribosomal
Rat,10116,Rpl9l2,pseudogene,ribosomal
Rat,10116,Rplp0,protein_coding,ribosomal
Rat,10116,Rplp0l1,protein_coding,ribosomal
Rat,10116,Rplp1l1,protein_coding,ribosomal
Rat,10116,Rplp1l3,protein_coding,ribosomal
Rat,10116,Rplp2,protein_coding,ribosomal
Rat,10116,Rplp2l2,protein_coding,ribosomal
Rat,10116,Rplp2l3,protein_coding,ribosomal
Rat,10116,Rps10,protein_coding,ribosomal
Rat,10116,Rps10-ps21,protein_coding,ribosomal
Rat,10116,Rps10l1,protein_coding,ribosomal
Rat,10116,Rps10l2,protein_coding,ribosomal
Rat,10116,Rps11,protein_coding,ribosomal
Rat,10116,Rps11l1,protein_coding,ribosomal
Rat,10116,Rps12,protein_coding,ribosomal
Rat,10116,Rps12l1,protein_coding,ribosomal
Rat,10116,Rps12l2,protein_coding,ribosomal
Rat,10116,Rps12l3,protein_coding,ribosomal
Rat,10116,Rps12l4,protein_coding,ribosomal
Rat,10116,Rps12l5,protein_coding,ribosomal
Rat,10116,Rps13,protein_coding,ribosomal
Rat,10116,Rps13l1,protein_coding,ribosomal
Rat,10116,Rps14,protein_coding,ribosomal
Rat,10116,Rps15,protein_coding,ribosomal
Rat,10116,Rps15a,protein_coding,ribosomal
Rat,10116,Rps15a-ps9,protein_coding,ribosomal
Rat,10116,Rps15al2,protein_coding,ribosomal
Rat,10116,Rps15al4,protein_coding,ribosomal
Rat,10116,Rps15al7,protein_coding,ribosomal
Rat,10116,Rps16,protein_coding,ribosomal
Rat,10116,Rps16l1,protein_coding,ribosomal
Rat,10116,Rps17l2,protein_coding,ribosomal
Rat,10116,Rps18,protein_coding,ribosomal
Rat,10116,Rps18l1,protein_coding,ribosomal
Rat,10116,Rps18l2,protein_coding,ribosomal
Rat,10116,Rps18l3,protein_coding,ribosomal
Rat,10116,Rps19,protein_coding,ribosomal
Rat,10116,Rps19bp1,protein_coding,ribosomal
Rat,10116,Rps19l3,protein_coding,ribosomal
Rat,10116,Rps2,protein_coding,ribosomal
Rat,10116,Rps2-ps17,protein_coding,ribosomal
Rat,10116,Rps2-ps42,protein_coding,ribosomal
Rat,10116,Rps2-ps44,protein_coding,ribosomal
Rat,10116,Rps2-ps6,pseudogene,ribosomal
Rat,10116,Rps20,protein_coding,ribosomal
Rat,10116,Rps20-ps10,protein_coding,ribosomal
Rat,10116,Rps20-ps11,protein_coding,ribosomal
Rat,10116,Rps20l1,protein_coding,ribosomal
Rat,10116,Rps20l3,protein_coding,ribosomal
Rat,10116,Rps20l5,protein_coding,ribosomal
Rat,10116,Rps21,protein_coding,ribosomal
Rat,10116,Rps21-ps1,protein_coding,ribosomal
Rat,10116,Rps23,protein_coding,ribosomal
Rat,10116,Rps23l1,protein_coding,ribosomal
Rat,10116,Rps24-ps19,protein_coding,ribosomal
Rat,10116,Rps24l3,protein_coding,ribosomal
Rat,10116,Rps24l7,protein_coding,ribosomal
Rat,10116,Rps25,protein_coding,ribosomal
Rat,10116,Rps25l2,protein_coding,ribosomal
Rat,10116,Rps25l3,protein_coding,ribosomal
Rat,10116,Rps26-ps13,protein_coding,ribosomal
Rat,10116,Rps26-ps4,protein_coding,ribosomal
Rat,10116,Rps26l5,protein_coding,ribosomal
Rat,10116,Rps26l6,protein_coding,ribosomal
Rat,10116,Rps27,protein_coding,ribosomal
Rat,10116,Rps27a,protein_coding,ribosomal
Rat,10116,Rps27a-ps1,protein_coding,ribosomal
Rat,10116,Rps27a-ps12,protein_coding,ribosomal
Rat,10116,Rps27a-ps13,processed_pseudogene,ribosomal
Rat,10116,Rps27a-ps2,protein_coding,ribosomal
Rat,10116,Rps27a-ps6,protein_coding,ribosomal
Rat,10116,Rps27l,protein_coding,ribosomal
Rat,10116,Rps27l3,protein_coding,ribosomal
Rat,10116,Rps28,protein_coding,ribosomal
Rat,10116,Rps28-ps1,protein_coding,ribosomal
Rat,10116,Rps28-ps3,protein_coding,ribosomal
Rat,10116,Rps28-ps4,protein_coding,ribosomal
Rat,10116,Rps28-ps5,protein_coding,ribosomal
Rat,10116,Rps29,protein_coding,ribosomal
Rat,10116,Rps29-ps15,protein_coding,ribosomal
Rat,10116,Rps29-ps19,protein_coding,ribosomal
Rat,10116,Rps29-ps20,protein_coding,ribosomal
Rat,10116,Rps29-ps21,protein_coding,ribosomal
Rat,10116,Rps3l1,protein_coding,ribosomal
Rat,10116,Rps4x,protein_coding,ribosomal
Rat,10116,Rps4x-ps13,protein_coding,ribosomal
Rat,10116,Rps4x-ps9,protein_coding,ribosomal
Rat,10116,Rps5,protein_coding,ribosomal
Rat,10116,Rps6,protein_coding,ribosomal
Rat,10116,Rps6ka1,protein_coding,ribosomal
Rat,10116,Rps6ka2,protein_coding,ribosomal
Rat,10116,Rps6ka3,protein_coding,ribosomal
Rat,10116,Rps6ka4,protein_coding,ribosomal
Rat,10116,Rps6ka5,protein_coding,ribosomal
Rat,10116,Rps6ka6,protein_coding,ribosomal
Rat,10116,Rps6kb1,protein_coding,ribosomal
Rat,10116,Rps6kb2,protein_coding,ribosomal
Rat,10116,Rps6kc1,protein_coding,ribosomal
Rat,10116,Rps6kl1,protein_coding,ribosomal
Rat,10116,Rps7-ps20,protein_coding,ribosomal
Rat,10116,Rps7-ps23,protein_coding,ribosomal
Rat,10116,Rps8,protein_coding,ribosomal
Rat,10116,Rps8-ps17,protein_coding,ribosomal
Rat,10116,Rps8l1,protein_coding,ribosomal
Rat,10116,Rps9,protein_coding,ribosomal
Rat,10116,Rps9l1,protein_coding,ribosomal
Rat,10116,Rpsa,protein_coding,ribosomal
